Altium Designer Pick and Place Locations
C:\Users\olivi\OneDrive - Université Laval\Documents\Altium\XEM7310_Breakout\01 - SCHEMAS ET PCB\99 - WORKING COPY\XEM7310_Berakout\Project Outputs for XEM7310_Berakout\REV_1.000_2026-06-15\05 - ASSEMBLY\Pick Place for XEM7310_Berakout.csv

========================================================================================================================
File Design Information:

Date:       15-06-26
Time:       09:33
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Description","Package","Layer","Center-X(mil)","Center-Y(mil)","Rotation"
"J9","0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 3-Pin, Male, RoHS","","TopLayer","1861,488","5442,668","0"
"J8","Connector Header Through Hole 2 position 0.100" (2.54mm)","","TopLayer","1911,488","6002,668","180"
"J6","40 Position Receptacle Connector 0.100" (2.54mm) Through Hole Gold","None","TopLayer","3450,000","1450,000","180"
"J5","40 Position Receptacle Connector 0.100" (2.54mm) Through Hole Gold","None","TopLayer","1225,000","1450,000","180"
"J4","40 Position Receptacle Connector 0.100" (2.54mm) Through Hole Gold","None","TopLayer","3450,000","4950,000","180"
"J3","40 Position Receptacle Connector 0.100" (2.54mm) Through Hole Gold","None","TopLayer","1225,000","4950,000","180"
"U1_H","IC TRANSCEIVER HALF 4/1 20TSSOP","","TopLayer","5070,000","5656,115","180"
"U1_G","IC TRANSCEIVER HALF 4/1 20TSSOP","","TopLayer","5070,000","4956,115","180"
"U1_F","IC TRANSCEIVER HALF 4/1 20TSSOP","","TopLayer","5070,000","4256,115","180"
"U1_E","IC TRANSCEIVER HALF 4/1 20TSSOP","","TopLayer","5070,000","3556,115","180"
"U1_D","IC TRANSCEIVER HALF 4/1 20TSSOP","","TopLayer","5070,000","2856,115","180"
"U1_C","IC TRANSCEIVER HALF 4/1 20TSSOP","","TopLayer","5070,000","2156,115","180"
"U1_B","IC TRANSCEIVER HALF 4/1 20TSSOP","","TopLayer","5070,000","1456,115","180"
"U1_A","IC TRANSCEIVER HALF 4/1 20TSSOP","","TopLayer","5070,000","756,115","180"
"J10","Power Barrel Connector Jack 2.00mm ID (0.079"), 5.50mm OD (0.217") Through Hole, Right Angle","None","TopLayer","437,795","5447,480","180"
"S1","Dip Switch SPST 4 Position Surface Mount Slide (Standard) Actuator 25mA 24VDC","None","TopLayer","3057,816","5647,598","0"
"J7","80 Position Connector Header, Outer Shroud Contacts Surface Mount Gold","None","TopLayer","2152,638","2462,520","0"
"J2","80 Position Connector Header, Outer Shroud Contacts Surface Mount Gold","None","TopLayer","2152,638","4037,323","0"
"C7","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X6S, 22%, 20%, 16V","","TopLayer","846,448","5670,000","0"
"J1_H","USB-C (USB TYPE-C) USB 3.2 Gen 1 (USB 3.1 Gen 1, Superspeed (USB 3.0)) Receptacle Connector 24 Position Through Hole, Right Angle","","TopLayer","5754,449","5710,000","90"
"J1_G","USB-C (USB TYPE-C) USB 3.2 Gen 1 (USB 3.1 Gen 1, Superspeed (USB 3.0)) Receptacle Connector 24 Position Through Hole, Right Angle","","TopLayer","5754,449","5010,000","90"
"J1_F","USB-C (USB TYPE-C) USB 3.2 Gen 1 (USB 3.1 Gen 1, Superspeed (USB 3.0)) Receptacle Connector 24 Position Through Hole, Right Angle","","TopLayer","5754,449","4310,000","90"
"J1_E","USB-C (USB TYPE-C) USB 3.2 Gen 1 (USB 3.1 Gen 1, Superspeed (USB 3.0)) Receptacle Connector 24 Position Through Hole, Right Angle","","TopLayer","5754,449","3610,000","90"
"J1_D","USB-C (USB TYPE-C) USB 3.2 Gen 1 (USB 3.1 Gen 1, Superspeed (USB 3.0)) Receptacle Connector 24 Position Through Hole, Right Angle","","TopLayer","5754,449","2910,000","90"
"J1_C","USB-C (USB TYPE-C) USB 3.2 Gen 1 (USB 3.1 Gen 1, Superspeed (USB 3.0)) Receptacle Connector 24 Position Through Hole, Right Angle","","TopLayer","5754,449","2210,000","90"
"J1_B","USB-C (USB TYPE-C) USB 3.2 Gen 1 (USB 3.1 Gen 1, Superspeed (USB 3.0)) Receptacle Connector 24 Position Through Hole, Right Angle","","TopLayer","5754,449","1510,000","90"
"J1_A","USB-C (USB TYPE-C) USB 3.2 Gen 1 (USB 3.1 Gen 1, Superspeed (USB 3.0)) Receptacle Connector 24 Position Through Hole, Right Angle","","TopLayer","5754,449","810,000","90"
"C8","CAP CER 1UF 16V X7R 0603","CC0603-DA","TopLayer","836,653","5360,000","0"
"C2_H","Cap Ceramic 1nF 50V X7R ±10% Pad SMD 0603 +125°C T/R","","TopLayer","4880,000","5950,000","270"
"C2_G","Cap Ceramic 1nF 50V X7R ±10% Pad SMD 0603 +125°C T/R","","TopLayer","4880,000","5250,000","270"
"C2_F","Cap Ceramic 1nF 50V X7R ±10% Pad SMD 0603 +125°C T/R","","TopLayer","4880,000","4550,000","270"
"C2_E","Cap Ceramic 1nF 50V X7R ±10% Pad SMD 0603 +125°C T/R","","TopLayer","4880,000","3850,000","270"
"C2_D","Cap Ceramic 1nF 50V X7R ±10% Pad SMD 0603 +125°C T/R","","TopLayer","4880,000","3150,000","270"
"C2_C","Cap Ceramic 1nF 50V X7R ±10% Pad SMD 0603 +125°C T/R","","TopLayer","4880,000","2450,000","270"
"C2_B","Cap Ceramic 1nF 50V X7R ±10% Pad SMD 0603 +125°C T/R","","TopLayer","4880,000","1750,000","270"
